ECellID,CellName,Longitude,Latitude,PCI,EARFCN,Azimuth
5052672,Marchants Way | Burgess Hill | RH15 8QY,-0.13736205191349574,50.96681782418128,194,1617,116
5052673,Marchants Way | Burgess Hill | RH15 8QY,-0.13736205191349574,50.96681782418128,193,1617,135
5052674,Marchants Way | Burgess Hill | RH15 8QY,-0.13736205191349574,50.96681782418128,192,1617,296
4827904,West Street | Burgess Hill | RH15 8UE,-0.149148590862751,50.96158974622228,139,1617,0
8036096,The Market Place | Burgess Hill | RH15 9NP,-0.13304155558092534,50.95520613489228,59,1617,303
8036097,The Market Place | Burgess Hill | RH15 9NP,-0.13304155558092534,50.95520613489228,58,1617,276
8036098,The Market Place | Burgess Hill | RH15 9NP,-0.13304155558092534,50.95520613489228,57,1617,267
8036099,The Market Place | Burgess Hill | RH15 9NP,-0.13304155558092534,50.95520613489228,59,1761,339
8036100,The Market Place | Burgess Hill | RH15 9NP,-0.13304155558092534,50.95520613489228,58,1761,96
8036101,The Market Place | Burgess Hill | RH15 9NP,-0.13304155558092534,50.95520613489228,57,1761,281
4926208,Silverdale Road | Burgess Hill | RH15 0EQ,-0.12521726584860285,50.953129536382846,186,1617,347
4926209,Silverdale Road | Burgess Hill | RH15 0EQ,-0.12521726584860285,50.953129536382846,187,1617,115
4926210,Silverdale Road | Burgess Hill | RH15 0EQ,-0.12521726584860285,50.953129536382846,188,1617,233
5248512,Rocky Lane | Sandrocks | RH16 4RQ,-0.11631195813413342,50.977957795367765,245,1617,37
5248513,Rocky Lane | Sandrocks | RH16 4RQ,-0.11631195813413342,50.977957795367765,244,1617,23
5248524,Rocky Lane | Sandrocks | RH16 4RQ,-0.11631195813413342,50.977957795367765,418,6225,38
5248525,Rocky Lane | Sandrocks | RH16 4RQ,-0.11631195813413342,50.977957795367765,419,6225,203
5320448,Janes Lane | Burgess Hill | RH15 0QJ,-0.10804452234923069,50.961964509735054,147,1617,25
5320449,Janes Lane | Burgess Hill | RH15 0QJ,-0.10804452234923069,50.961964509735054,148,1617,221
5320450,Janes Lane | Burgess Hill | RH15 0QJ,-0.10804452234923069,50.961964509735054,149,1617,231
5320461,Janes Lane | Burgess Hill | RH15 0QJ,-0.10804452234923069,50.961964509735054,340,6225,78
5320462,Janes Lane | Burgess Hill | RH15 0QJ,-0.10804452234923069,50.961964509735054,341,6225,280
